ID,produto,preço,tipo
1,galinha,12.90,L
2,mignon,19.80,L
3,coração,18.50,L
4,Açai-300ml,7.50,A
5,Açai-500ml,12.00,A
6,Açai-700ml,17.00,A
7,batata-frita-P,10.00,P
8,batata-frita-M,15.00,P
9,batata-frita-G,20.00,P
10,ONION-5UNI,7.0,P
11,ONION-12 UNI,14.00,P
12,ONION-20,18.00,P
13,Lula Frita,13.50,P
14,BIS,1.50,AD
15,KITKATTY,2.0,AD
16,OREO,1.00,AD
17,banana,0,AG
18,granola,0,AG
19,calda de caramelo,0,AG
20,calda de maracuja,0,AG
